label,message
ham,Hi how are you doing today
ham,Are we meeting tomorrow morning
ham,Please call me when you are free
ham,Let's complete the assignment today
ham,Did you receive my email
ham,Happy birthday have a great day
ham,Can we go for lunch today
ham,Please find the attached document
ham,I'll be late today
ham,See you at the office

spam,Win cash now click here
spam,Congratulations you won a lottery
spam,Claim your free prize now
spam,Limited offer buy now
spam,You have won 100000 rupees
spam,Click this link to get reward
spam,Get free recharge now
spam,Exclusive deal waiting for you
spam,Your account has won cashback
spam,Free gift card available

ham,What time is the meeting
ham,Let's plan the trip next week
ham,Project deadline is tomorrow
ham,Call me after class
ham,Please update the document
ham,Thank you for your help
ham,Let's study together
ham,Can you send the notes
ham,Meeting postponed to evening
ham,How was your exam

spam,Act now limited time offer
spam,You are selected for prize money
spam,Get instant loan approved
spam,Lowest price guaranteed buy now
spam,Win iphone click now
spam,Free coupons available
spam,Urgent your account is selected
spam,Click to verify and win
spam,Special discount only today
spam,You won jackpot claim now
